"week"	"investor_type_frmted"	"cumsum"	"date_start"
73	"Partner: Referral Partners"	296	2010-05-20
74	"Marketing"	152	2010-05-27
74	"Partner: Referral Partners"	301	2010-05-27
75	"Marketing"	153	2010-06-03
75	"Partner: Referral Partners"	305	2010-06-03
76	"Marketing"	154	2010-06-10
76	"Partner: Referral Partners"	309	2010-06-10
77	"Marketing"	155	2010-06-17
77	"Partner: Referral Partners"	313	2010-06-17
78	"Marketing"	156	2010-06-24
78	"Partner: Referral Partners"	317	2010-06-24
