"week"	"quarter"	"stage"	"source"	"count"	"investor_type_frmted"
66	6	"seed"	"marketing"	19	"Marketing"
66	6	"seed"	"referral_partners"	13	"Partner: Referral Partners"
67	6	"a"	"marketing"	1	"Marketing"
67	6	"a"	"referral_partners"	22	"Partner: Referral Partners"
67	6	"b"	"referral_partners"	9	"Partner: Referral Partners"
67	6	"d"	"referral_partners"	2	"Partner: Referral Partners"
67	6	"seed"	"marketing"	21	"Marketing"
67	6	"seed"	"referral_partners"	10	"Partner: Referral Partners"
68	6	"a"	"referral_partners"	18	"Partner: Referral Partners"
68	6	"b"	"referral_partners"	8	"Partner: Referral Partners"
68	6	"c"	"referral_partners"	2	"Partner: Referral Partners"
68	6	"seed"	"marketing"	24	"Marketing"
68	6	"seed"	"referral_partners"	13	"Partner: Referral Partners"
69	6	"a"	"marketing"	1	"Marketing"
69	6	"a"	"referral_partners"	21	"Partner: Referral Partners"
69	6	"b"	"referral_partners"	7	"Partner: Referral Partners"
69	6	"c"	"referral_partners"	4	"Partner: Referral Partners"
69	6	"d"	"referral_partners"	1	"Partner: Referral Partners"
69	6	"seed"	"marketing"	25	"Marketing"
69	6	"seed"	"referral_partners"	10	"Partner: Referral Partners"
70	6	"a"	"referral_partners"	23	"Partner: Referral Partners"
70	6	"b"	"referral_partners"	10	"Partner: Referral Partners"
70	6	"c"	"referral_partners"	5	"Partner: Referral Partners"
70	6	"d"	"referral_partners"	1	"Partner: Referral Partners"
70	6	"seed"	"marketing"	19	"Marketing"
70	6	"seed"	"referral_partners"	9	"Partner: Referral Partners"
71	6	"a"	"marketing"	1	"Marketing"
71	6	"a"	"referral_partners"	26	"Partner: Referral Partners"
71	6	"b"	"referral_partners"	12	"Partner: Referral Partners"
71	6	"c"	"referral_partners"	2	"Partner: Referral Partners"
71	6	"seed"	"marketing"	28	"Marketing"
71	6	"seed"	"referral_partners"	6	"Partner: Referral Partners"
72	6	"a"	"referral_partners"	25	"Partner: Referral Partners"
72	6	"b"	"referral_partners"	12	"Partner: Referral Partners"
72	6	"c"	"referral_partners"	2	"Partner: Referral Partners"
72	6	"seed"	"marketing"	26	"Marketing"
72	6	"seed"	"referral_partners"	16	"Partner: Referral Partners"
73	6	"a"	"referral_partners"	25	"Partner: Referral Partners"
73	6	"b"	"referral_partners"	12	"Partner: Referral Partners"
73	6	"c"	"referral_partners"	1	"Partner: Referral Partners"
73	6	"seed"	"marketing"	17	"Marketing"
73	6	"seed"	"referral_partners"	13	"Partner: Referral Partners"
74	6	"a"	"referral_partners"	18	"Partner: Referral Partners"
74	6	"b"	"referral_partners"	11	"Partner: Referral Partners"
74	6	"c"	"referral_partners"	1	"Partner: Referral Partners"
74	6	"d"	"referral_partners"	2	"Partner: Referral Partners"
74	6	"seed"	"marketing"	23	"Marketing"
74	6	"seed"	"referral_partners"	11	"Partner: Referral Partners"
75	6	"a"	"referral_partners"	23	"Partner: Referral Partners"
75	6	"b"	"referral_partners"	8	"Partner: Referral Partners"
75	6	"c"	"referral_partners"	1	"Partner: Referral Partners"
75	6	"seed"	"marketing"	22	"Marketing"
75	6	"seed"	"referral_partners"	5	"Partner: Referral Partners"
76	6	"a"	"referral_partners"	16	"Partner: Referral Partners"
76	6	"b"	"referral_partners"	8	"Partner: Referral Partners"
76	6	"c"	"referral_partners"	3	"Partner: Referral Partners"
76	6	"seed"	"marketing"	30	"Marketing"
76	6	"seed"	"referral_partners"	8	"Partner: Referral Partners"
77	6	"a"	"referral_partners"	19	"Partner: Referral Partners"
77	6	"b"	"referral_partners"	7	"Partner: Referral Partners"
77	6	"c"	"referral_partners"	4	"Partner: Referral Partners"
77	6	"seed"	"marketing"	20	"Marketing"
77	6	"seed"	"referral_partners"	7	"Partner: Referral Partners"
78	7	"a"	"referral_partners"	20	"Partner: Referral Partners"
78	7	"b"	"referral_partners"	13	"Partner: Referral Partners"
78	7	"c"	"referral_partners"	2	"Partner: Referral Partners"
78	7	"seed"	"marketing"	23	"Marketing"
78	7	"seed"	"referral_partners"	9	"Partner: Referral Partners"
